id,type,area,title,arc_ref,code_module,verify_method,status,release_gated
FR-ADAPT-001,FR,ADAPT,Convert calibrated parameters between any two models without images,ARC-ADAPT,ds_msp/adapt/convert.py,tests/adapt/test_convert.py,implemented,no
FR-ADAPT-002,FR,ADAPT,Automatically select the best-fitting model,ARC-ADAPT,ds_msp/adapt/autoselect.py,tests/adapt/test_autoselect.py,implemented,no
FR-IO-001,FR,IO,Read and write Kalibr camchain YAML,ARC-IO,ds_msp/io/kalibr.py,tests/io/test_kalibr.py,implemented,no
FR-IO-002,FR,IO,Export and read COLMAP reconstruction files,ARC-IO,ds_msp/io/colmap.py,tests/io/test_colmap.py,implemented,no
FR-IO-003,FR,IO,Export nerfstudio transforms.json,ARC-IO,ds_msp/io/nerfstudio.py,tests/io/test_nerfstudio.py,implemented,no
FR-IO-004,FR,IO,Read and write MC-Calib interchange format,ARC-IO,ds_msp/io/mccalib.py,tests/io/test_mccalib_io.py,implemented,no
FR-VO-001,FR,VO,Estimate a monocular camera trajectory from a fisheye stream,ARC-VO,ds_msp/vo/odometry.py,tests/vo/test_odometry.py,implemented,no
FR-VO-002,FR,VO,Evaluate trajectories with Sim(3) alignment and ATE/RPE,ARC-VO,ds_msp/vo/metrics.py,tests/vo/test_metrics.py,implemented,no
FR-INTEROP-001,FR,INTEROP,Provide an OpenCV-compatible drop-in API,ARC-INTEROP,ds_msp/cv.py,tests/test_ds_camera_cv.py,implemented,no
FR-INTEROP-002,FR,INTEROP,Generate TI Jacinto LDC distortion-correction mesh,ARC-INTEROP,ds_msp/ldc.py,tests/test_robustness_and_ldc.py,implemented,no
NFR-NUM-001,NFR,NUM,Analytic Jacobians match finite differences to <=1e-6 relative error,ARC-MODELS,ds_msp/models,tests/contract/test_gradcheck.py,implemented,no
NFR-NUM-002,NFR,NUM,KB and RadTan models match OpenCV to ~1e-13,ARC-MODELS,ds_msp/models,tests/test_ds_camera_cv.py,implemented,no
NFR-NUM-003,NFR,NUM,Undistort/reproject round-trip error stays sub-pixel,ARC-OPS,ds_msp/ops/reproject.py,tests/ops/test_reproject.py,implemented,no
NFR-NUM-004,NFR,NUM,Calibration matches published TUM-VI intrinsics within stated tolerance on real data,ARC-CALIB,ds_msp/calib/bundle.py,tests/realdata/test_tumvi_calibration.py,planned,yes
NFR-NUM-005,NFR,NUM,Double Sphere handles >180 deg FOV with correct half-space validity,ARC-MODELS,ds_msp/models/double_sphere.py,tests/models/test_ds_model.py,implemented,no
NFR-NUM-006,NFR,NUM,Calibration mean and p95 reprojection are robust to planar pose-flip and outliers from a poor init,ARC-CALIB,ds_msp/calib/bundle.py,tests/calib/test_robust_calibrate.py,implemented,no
NFR-ARCH-001,NFR,ARCH,Architecture is strictly layered and acyclic,ARC-CORE,ds_msp,tests/contract/test_independence.py,implemented,no
NFR-ARCH-002,NFR,ARCH,Math foundation (core/data/geometry/models) is cv2/scipy-free,ARC-CORE,ds_msp,tests/contract/test_independence.py::test_math_foundation_is_cv2_and_scipy_free,implemented,no
NFR-ARCH-003,NFR,ARCH,Every camera model satisfies the CameraModel contract,ARC-CORE,ds_msp/core/contracts.py,tests/contract/test_camera_model_contract.py,implemented,no
NFR-PORT-001,NFR,PORT,Library runs on Python 3.10 3.11 and 3.12,ARC-CORE,ds_msp,.github/workflows/ci.yml,implemented,no
NFR-REPRO-001,NFR,REPRO,Tests and validations are deterministic via fixed seeds,ARC-CORE,tests,tests/contract/test_gradcheck.py,implemented,no
NFR-PRIV-001,NFR,PRIV,No internal R&D / AI-process content reaches tracked files,ARC-CORE,.,tools/check_tree_hygiene.py,implemented,no
